price,bhk,area_sqft,parking
3500000.0,2.0,600.0,1.0
4730000.0,2.0,650.0,0.0
4580000.0,2.0,680.0,0.0
4880000.0,2.0,680.0,0.0
6509999.999999999,3.0,1080.0,1.0
6600000.0,3.0,1080.0,1.0
6520000.0,3.0,1080.0,1.0
4500000.0,3.0,950.0,0.0
19500000.0,3.0,1250.0,1.0
34500000.0,5.0,2250.0,1.0
25000000.0,4.0,1550.0,1.0
32500000.0,3.0,2100.0,1.0
90000000.0,4.0,1800.0,0.0
24000000.0,4.0,1900.0,1.0
125000000.0,4.0,2403.0,1.0
82500000.0,3.0,1953.0,1.0
17000000.0,3.0,1360.0,1.0
8500000.0,2.0,756.0,0.0
11500000.0,2.0,756.0,0.0
10000000.0,2.0,756.0,0.0
10000000.0,4.0,1250.0,1.0
90000000.0,4.0,2000.0,0.0
85000000.0,3.0,1550.0,0.0
82500000.0,3.0,1800.0,0.0
6500000.0,3.0,1080.0,0.0
6500000.0,3.0,1080.0,0.0
2000000.0,1.0,500.0,1.0
25000000.0,3.0,1500.0,1.0
5500000.0,3.0,950.0,1.0
7500000.0,3.0,600.0,1.0
2650000.0,2.0,560.0,1.0
34500000.0,4.0,2400.0,1.0
15000000.0,2.0,800.0,1.0
4850000.0,3.0,950.0,0.0
25000000.0,4.0,1900.0,1.0
2100000.0,1.0,400.0,1.0
3700000.0,2.0,700.0,0.0
3620000.0000000005,2.0,700.0,0.0
32000000.0,5.0,2000.0,1.0
8000000.0,2.0,680.0,1.0
35500000.0,3.0,1800.0,1.0
